id_producto,nombre,categoria,unidades,precio_unit,vencimiento,proveedor
PRD001,Amoxicilina 250mg,Antibiótico,120,850,2026-06-30,VetFarma SA
PRD002,Meloxicam 2mg,Antiinflamatorio,85,1200,2026-09-15,BioVet SRL
PRD003,Ivermectina 1%,Antiparasitario,60,950,2026-03-20,VetFarma SA
PRD004,Frontline Spray,Antiparasitario,40,3500,2027-01-10,MediAnimal
PRD005,Suero fisiológico 1L,Solución,200,400,2026-12-01,BioVet SRL
PRD006,Ketamina 10%,Anestésico,25,5800,2026-05-01,MediAnimal
PRD007,Tramadol 50mg,Analgésico,30,1800,2026-08-10,BioVet SRL
PRD008,Doxiciclina 100mg,Antibiótico,90,1100,2027-02-20,VetFarma SA
PRD009,Enrofloxacina 5%,Antibiótico,45,1500,2026-07-15,BioVet SRL
PRD010,Metronidazol 250mg,Antibiótico,70,950,2026-11-30,VetFarma SA
PRD011,Carprofeno 100mg,Antiinflamatorio,35,2200,2026-09-25,MediAnimal
PRD012,Vacuna Antirrábica,Vacuna,150,4500,2026-12-15,VetFarma SA
PRD013,Vacuna Sextuple,Vacuna,120,5500,2026-10-20,BioVet SRL
PRD014,Vacuna Triple Felina,Vacuna,80,4800,2026-11-10,MediAnimal
PRD015,Praziquantel 50mg,Antiparasitario,20,1300,2026-06-30,VetFarma SA
PRD016,Cefalexina 500mg,Antibiótico,110,1600,2027-03-10,BioVet SRL
PRD017,Insulina canina,Hormonal,15,8500,2026-08-15,MediAnimal
PRD018,Suero glucosado 500ml,Solución,180,350,2026-12-20,BioVet SRL
PRD019,Pipeta Bravecto,Antiparasitario,28,4200,2027-04-15,MediAnimal
PRD020,Levotiroxina 0.2mg,Hormonal,60,1900,2026-10-05,VetFarma SA
